Index,Notes (scalar),Notes (radial),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
1022,Cb Db Eb Fn Gb A# B#,Db Cb B# Eb Fn Gb A#,B1356A0,0123578,7-14,"(0, 0, 0, 1, 0, 2, 2)",4,4,3,3,5,2
1100,Cb Db Eb Fn Gn Ab Bb,Db Cb Bb Eb Fn Gn Ab,B13578A,013468A,7-34,"(0, 0, 0, 1, 1, 0, 0)",2,5,4,4,4,2
1101,Cb Db Eb Fn Gn Ab Bn,Db Cb Bn Eb Fn Gn Ab,B13578B,013579,6-34,"(0, 0, 0, 1, 1, 0, 1)",1,4,2,4,2,2
1102,Cb Db Eb Fn Gn Ab B#,Db Cb B# Eb Fn Gn Ab,B135780,0124689,7-30,"(0, 0, 0, 1, 1, 0, 2)",3,4,3,5,4,2
1110,Cb Db Eb Fn Gn An Bb,Db Cb Bb Eb Fn Gn An,B13579A,012468A,7-33,"(0, 0, 0, 1, 1, 1, 0)",2,6,2,6,2,3
1111,Cb Db Eb Fn Gn An Bn,Db Cb Bn Eb Fn Gn An,B13579B,02468A,6-35,"(0, 0, 0, 1, 1, 1, 1)",0,6,0,6,0,3
1112,Cb Db Eb Fn Gn An B#,Db Cb B# Eb Fn Gn An,B135790,012468A,7-33,"(0, 0, 0, 1, 1, 1, 2)",2,6,2,6,2,3
1120,Cb Db Eb Fn Gn A# Bb,Db Cb Bb Eb Fn Gn A#,B1357AA,013579,6-34,"(0, 0, 0, 1, 1, 2, 0)",1,4,2,4,2,2
1121,Cb Db Eb Fn Gn A# Bn,Db Cb Bn Eb Fn Gn A#,B1357AB,013579,6-34,"(0, 0, 0, 1, 1, 2, 1)",1,4,2,4,2,2
1122,Cb Db Eb Fn Gn A# B#,Db Cb B# Eb Fn Gn A#,B1357A0,0123579,7-24,"(0, 0, 0, 1, 1, 2, 2)",3,5,3,4,4,2
1200,Cb Db Eb Fn G# Ab Bb,Db Cb Bb Eb Fn G# Ab,B13588A,023579,6-33,"(0, 0, 0, 1, 2, 0, 0)",1,4,3,2,4,1
1201,Cb Db Eb Fn G# Ab Bn,Db Cb Bn Eb Fn G# Ab,B13588B,02469,5-34,"(0, 0, 0, 1, 2, 0, 1)",0,3,2,2,2,1
1202,Cb Db Eb Fn G# Ab B#,Db Cb B# Eb Fn G# Ab,B135880,012469,6-46,"(0, 0, 0, 1, 2, 0, 2)",2,3,3,3,3,1
1210,Cb Db Eb Fn G# An Bb,Db Cb Bb Eb Fn G# An,B13589A,0123579,7-24,"(0, 0, 0, 1, 2, 1, 0)",3,5,3,4,4,2
1211,Cb Db Eb Fn G# An Bn,Db Cb Bn Eb Fn G# An,B13589B,013579,6-34,"(0, 0, 0, 1, 2, 1, 1)",1,4,2,4,2,2
1212,Cb Db Eb Fn G# An B#,Db Cb B# Eb Fn G# An,B135890,0134579,7-26,"(0, 0, 0, 1, 2, 1, 2)",3,4,4,5,3,2
1220,Cb Db Eb Fn G# A# Bb,Db Cb Bb Eb Fn G# A#,B1358AA,023579,6-33,"(0, 0, 0, 1, 2, 2, 0)",1,4,3,2,4,1
1221,Cb Db Eb Fn G# A# Bn,Db Cb Bn Eb Fn G# A#,B1358AB,023579,6-33,"(0, 0, 0, 1, 2, 2, 1)",1,4,3,2,4,1
1222,Cb Db Eb Fn G# A# B#,Db Cb B# Eb Fn G# A#,B1358A0,0234579,7-23,"(0, 0, 0, 1, 2, 2, 2)",3,5,4,3,5,1
2000,Cb Db Eb F# Gb Ab Bb,Db Cb Bb Eb F# Gb Ab,B13668A,024579,6-32,"(0, 0, 0, 2, 0, 0, 0)",1,4,3,2,5,0
2001,Cb Db Eb F# Gb Ab Bn,Db Cb Bn Eb F# Gb Ab,B13668B,02479,5-35,"(0, 0, 0, 2, 0, 0, 1)",0,3,2,1,4,0
2002,Cb Db Eb F# Gb Ab B#,Db Cb B# Eb F# Gb Ab,B136680,012479,6-47,"(0, 0, 0, 2, 0, 0, 2)",2,3,3,2,4,1
2010,Cb Db Eb F# Gb An Bb,Db Cb Bb Eb F# Gb An,B13669A,012469,6-46,"(0, 0, 0, 2, 0, 1, 0)",2,3,3,3,3,1
2011,Cb Db Eb F# Gb An Bn,Db Cb Bn Eb F# Gb An,B13669B,02469,5-34,"(0, 0, 0, 2, 0, 1, 1)",0,3,2,2,2,1
2012,Cb Db Eb F# Gb An B#,Db Cb B# Eb F# Gb An,B136690,023469,6-45,"(0, 0, 0, 2, 0, 1, 2)",2,3,4,2,2,2
2020,Cb Db Eb F# Gb A# Bb,Db Cb Bb Eb F# Gb A#,B1366AA,01358,5-27,"(0, 0, 0, 2, 0, 2, 0)",1,2,2,2,3,0
2021,Cb Db Eb F# Gb A# Bn,Db Cb Bn Eb F# Gb A#,B1366AB,01358,5-27,"(0, 0, 0, 2, 0, 2, 1)",1,2,2,2,3,0
2022,Cb Db Eb F# Gb A# B#,Db Cb B# Eb F# Gb A#,B1366A0,012358,6-40,"(0, 0, 0, 2, 0, 2, 2)",3,3,3,2,3,1
2100,Cb Db Eb F# Gn Ab Bb,Db Cb Bb Eb F# Gn Ab,B13678A,0124579,7-27,"(0, 0, 0, 2, 1, 0, 0)",3,4,4,4,5,1
2101,Cb Db Eb F# Gn Ab Bn,Db Cb Bn Eb F# Gn Ab,B13678B,012579,6-48,"(0, 0, 0, 2, 1, 0, 1)",2,3,2,3,4,1
2102,Cb Db Eb F# Gn Ab B#,Db Cb B# Eb F# Gn Ab,B136780,0125679,7-20,"(0, 0, 0, 2, 1, 0, 2)",4,3,3,4,5,2
2110,Cb Db Eb F# Gn An Bb,Db Cb Bb Eb F# Gn An,B13679A,0134579,7-26,"(0, 0, 0, 2, 1, 1, 0)",3,4,4,5,3,2
2111,Cb Db Eb F# Gn An Bn,Db Cb Bn Eb F# Gn An,B13679B,013579,6-34,"(0, 0, 0, 2, 1, 1, 1)",1,4,2,4,2,2
2112,Cb Db Eb F# Gn An B#,Db Cb B# Eb F# Gn An,B136790,0135679,7-28,"(0, 0, 0, 2, 1, 1, 2)",3,4,4,4,3,3
2120,Cb Db Eb F# Gn A# Bb,Db Cb Bb Eb F# Gn A#,B1367AA,014579,6-31,"(0, 0, 0, 2, 1, 2, 0)",2,2,3,4,3,1
2121,Cb Db Eb F# Gn A# Bn,Db Cb Bn Eb F# Gn A#,B1367AB,014579,6-31,"(0, 0, 0, 2, 1, 2, 1)",2,2,3,4,3,1
2122,Cb Db Eb F# Gn A# B#,Db Cb B# Eb F# Gn A#,B1367A0,0123589,7-18,"(0, 0, 0, 2, 1, 2, 2)",4,3,4,4,4,2
2200,Cb Db Eb F# G# Ab Bb,Db Cb Bb Eb F# G# Ab,B13688A,024579,6-32,"(0, 0, 0, 2, 2, 0, 0)",1,4,3,2,5,0
2201,Cb Db Eb F# G# Ab Bn,Db Cb Bn Eb F# G# Ab,B13688B,02479,5-35,"(0, 0, 0, 2, 2, 0, 1)",0,3,2,1,4,0
2202,Cb Db Eb F# G# Ab B#,Db Cb B# Eb F# G# Ab,B136880,012479,6-47,"(0, 0, 0, 2, 2, 0, 2)",2,3,3,2,4,1
2210,Cb Db Eb F# G# An Bb,Db Cb Bb Eb F# G# An,B13689A,0234579,7-23,"(0, 0, 0, 2, 2, 1, 0)",3,5,4,3,5,1
2211,Cb Db Eb F# G# An Bn,Db Cb Bn Eb F# G# An,B13689B,023579,6-33,"(0, 0, 0, 2, 2, 1, 1)",1,4,3,2,4,1
2212,Cb Db Eb F# G# An B#,Db Cb B# Eb F# G# An,B136890,0234679,7-25,"(0, 0, 0, 2, 2, 1, 2)",3,4,5,3,4,2
2220,Cb Db Eb F# G# A# Bb,Db Cb Bb Eb F# G# A#,B1368AA,024579,6-32,"(0, 0, 0, 2, 2, 2, 0)",1,4,3,2,5,0
2221,Cb Db Eb F# G# A# Bn,Db Cb Bn Eb F# G# A#,B1368AB,024579,6-32,"(0, 0, 0, 2, 2, 2, 1)",1,4,3,2,5,0
2222,Cb Db Eb F# G# A# B#,Db Cb B# Eb F# G# A#,B1368A0,0234579,7-23,"(0, 0, 0, 2, 2, 2, 2)",3,5,4,3,5,1
10000,Cb Db En Fb Gb Ab Bb,Db Cb Bb En Fb Gb Ab,B14468A,023579,6-33,"(0, 0, 1, 0, 0, 0, 0)",1,4,3,2,4,1
10001,Cb Db En Fb Gb Ab Bn,Db Cb Bn En Fb Gb Ab,B14468B,02479,5-35,"(0, 0, 1, 0, 0, 0, 1)",0,3,2,1,4,0
10002,Cb Db En Fb Gb Ab B#,Db Cb B# En Fb Gb Ab,B144680,012579,6-48,"(0, 0, 1, 0, 0, 0, 2)",2,3,2,3,4,1
10010,Cb Db En Fb Gb An Bb,Db Cb Bb En Fb Gb An,B14469A,012479,6-47,"(0, 0, 1, 0, 0, 1, 0)",2,3,3,2,4,1
10011,Cb Db En Fb Gb An Bn,Db Cb Bn En Fb Gb An,B14469B,02479,5-35,"(0, 0, 1, 0, 0, 1, 1)",0,3,2,1,4,0
10012,Cb Db En Fb Gb An B#,Db Cb B# En Fb Gb An,B144690,012479,6-47,"(0, 0, 1, 0, 0, 1, 2)",2,3,3,2,4,1
10020,Cb Db En Fb Gb A# Bb,Db Cb Bb En Fb Gb A#,B1446AA,01368,5-29,"(0, 0, 1, 0, 0, 2, 0)",1,2,2,1,3,1
10021,Cb Db En Fb Gb A# Bn,Db Cb Bn En Fb Gb A#,B1446AB,01368,5-29,"(0, 0, 1, 0, 0, 2, 1)",1,2,2,1,3,1
10022,Cb Db En Fb Gb A# B#,Db Cb B# En Fb Gb A#,B1446A0,012368,6-41,"(0, 0, 1, 0, 0, 2, 2)",3,3,2,2,3,2
10100,Cb Db En Fb Gn Ab Bb,Db Cb Bb En Fb Gn Ab,B14478A,013469,6-27,"(0, 0, 1, 0, 1, 0, 0)",2,2,5,2,2,2
10101,Cb Db En Fb Gn Ab Bn,Db Cb Bn En Fb Gn Ab,B14478B,01469,5-32,"(0, 0, 1, 0, 1, 0, 1)",1,1,3,2,2,1
10102,Cb Db En Fb Gn Ab B#,Db Cb B# En Fb Gn Ab,B144780,012569,6-44,"(0, 0, 1, 0, 1, 0, 2)",3,1,3,4,3,1
10110,Cb Db En Fb Gn An Bb,Db Cb Bb En Fb Gn An,B14479A,023469,6-45,"(0, 0, 1, 0, 1, 1, 0)",2,3,4,2,2,2
10111,Cb Db En Fb Gn An Bn,Db Cb Bn En Fb Gn An,B14479B,02469,5-34,"(0, 0, 1, 0, 1, 1, 1)",0,3,2,2,2,1
10112,Cb Db En Fb Gn An B#,Db Cb B# En Fb Gn An,B144790,012469,6-46,"(0, 0, 1, 0, 1, 1, 2)",2,3,3,3,3,1
10120,Cb Db En Fb Gn A# Bb,Db Cb Bb En Fb Gn A#,B1447AA,01369,5-31,"(0, 0, 1, 0, 1, 2, 0)",1,1,4,1,1,2
10121,Cb Db En Fb Gn A# Bn,Db Cb Bn En Fb Gn A#,B1447AB,01369,5-31,"(0, 0, 1, 0, 1, 2, 1)",1,1,4,1,1,2
10122,Cb Db En Fb Gn A# B#,Db Cb B# En Fb Gn A#,B1447A0,012369,6-42,"(0, 0, 1, 0, 1, 2, 2)",3,2,4,2,2,2
10200,Cb Db En Fb G# Ab Bb,Db Cb Bb En Fb G# Ab,B14488A,02358,5-25,"(0, 0, 1, 0, 2, 0, 0)",1,2,3,1,2,1
10201,Cb Db En Fb G# Ab Bn,Db Cb Bn En Fb G# Ab,B14488B,0358,4-26,"(0, 0, 1, 0, 2, 0, 1)",0,1,2,1,2,0
10202,Cb Db En Fb G# Ab B#,Db Cb B# En Fb G# Ab,B144880,03458,5-37,"(0, 0, 1, 0, 2, 0, 2)",2,1,2,2,2,0
10210,Cb Db En Fb G# An Bb,Db Cb Bb En Fb G# An,B14489A,012358,6-40,"(0, 0, 1, 0, 2, 1, 0)",3,3,3,2,3,1
10211,Cb Db En Fb G# An Bn,Db Cb Bn En Fb G# An,B14489B,01358,5-27,"(0, 0, 1, 0, 2, 1, 1)",1,2,2,2,3,0
10212,Cb Db En Fb G# An B#,Db Cb B# En Fb G# An,B144890,013458,6-14,"(0, 0, 1, 0, 2, 1, 2)",3,2,3,4,3,0
10220,Cb Db En Fb G# A# Bb,Db Cb Bb En Fb G# A#,B1448AA,02358,5-25,"(0, 0, 1, 0, 2, 2, 0)",1,2,3,1,2,1
10221,Cb Db En Fb G# A# Bn,Db Cb Bn En Fb G# A#,B1448AB,02358,5-25,"(0, 0, 1, 0, 2, 2, 1)",1,2,3,1,2,1
10222,Cb Db En Fb G# A# B#,Db Cb B# En Fb G# A#,B1448A0,023458,6-39,"(0, 0, 1, 0, 2, 2, 2)",3,3,3,3,2,1
11000,Cb Db En Fn Gb Ab Bb,Db Cb Bb En Fn Gb Ab,B14568A,0124679,7-29,"(0, 0, 1, 1, 0, 0, 0)",3,4,4,3,5,2
11001,Cb Db En Fn Gb Ab Bn,Db Cb Bn En Fn Gb Ab,B14568B,012479,6-47,"(0, 0, 1, 1, 0, 0, 1)",2,3,3,2,4,1
11002,Cb Db En Fn Gb Ab B#,Db Cb B# En Fn Gb Ab,B145680,0125679,7-20,"(0, 0, 1, 1, 0, 0, 2)",4,3,3,4,5,2
11010,Cb Db En Fn Gb An Bb,Db Cb Bb En Fn Gb An,B14569A,0125679,7-20,"(0, 0, 1, 1, 0, 1, 0)",4,3,3,4,5,2
11011,Cb Db En Fn Gb An Bn,Db Cb Bn En Fn Gb An,B14569B,012579,6-48,"(0, 0, 1, 1, 0, 1, 1)",2,3,2,3,4,1
11012,Cb Db En Fn Gb An B#,Db Cb B# En Fn Gb An,B145690,0125679,7-20,"(0, 0, 1, 1, 0, 1, 2)",4,3,3,4,5,2
11020,Cb Db En Fn Gb A# Bb,Db Cb Bb En Fn Gb A#,B1456AA,012578,6-18,"(0, 0, 1, 1, 0, 2, 0)",3,2,2,2,4,2
11021,Cb Db En Fn Gb A# Bn,Db Cb Bn En Fn Gb A#,B1456AB,012578,6-18,"(0, 0, 1, 1, 0, 2, 1)",3,2,2,2,4,2
11022,Cb Db En Fn Gb A# B#,Db Cb B# En Fn Gb A#,B1456A0,0123678,7-7,"(0, 0, 1, 1, 0, 2, 2)",5,3,2,3,5,3
11100,Cb Db En Fn Gn Ab Bb,Db Cb Bb En Fn Gn Ab,B14578A,0134679,7-31,"(0, 0, 1, 1, 1, 0, 0)",3,3,6,3,3,3
11101,Cb Db En Fn Gn Ab Bn,Db Cb Bn En Fn Gn Ab,B14578B,013479,6-49,"(0, 0, 1, 1, 1, 0, 1)",2,2,4,3,2,2
11102,Cb Db En Fn Gn Ab B#,Db Cb B# En Fn Gn Ab,B145780,0125689,7-22,"(0, 0, 1, 1, 1, 0, 2)",4,2,4,5,4,2
11110,Cb Db En Fn Gn An Bb,Db Cb Bb En Fn Gn An,B14579A,0135679,7-28,"(0, 0, 1, 1, 1, 1, 0)",3,4,4,4,3,3
11111,Cb Db En Fn Gn An Bn,Db Cb Bn En Fn Gn An,B14579B,013579,6-34,"(0, 0, 1, 1, 1, 1, 1)",1,4,2,4,2,2
11112,Cb Db En Fn Gn An B#,Db Cb B# En Fn Gn An,B145790,0124689,7-30,"(0, 0, 1, 1, 1, 1, 2)",3,4,3,5,4,2
11120,Cb Db En Fn Gn A# Bb,Db Cb Bb En Fn Gn A#,B1457AA,013679,6-30,"(0, 0, 1, 1, 1, 2, 0)",2,2,4,2,2,3
11121,Cb Db En Fn Gn A# Bn,Db Cb Bn En Fn Gn A#,B1457AB,013679,6-30,"(0, 0, 1, 1, 1, 2, 1)",2,2,4,2,2,3
11122,Cb Db En Fn Gn A# B#,Db Cb B# En Fn Gn A#,B1457A0,0123679,7-19,"(0, 0, 1, 1, 1, 2, 2)",4,3,4,3,4,3
11200,Cb Db En Fn G# Ab Bb,Db Cb Bb En Fn G# Ab,B14588A,014679,6-50,"(0, 0, 1, 1, 2, 0, 0)",2,2,4,2,3,2
11201,Cb Db En Fn G# Ab Bn,Db Cb Bn En Fn G# Ab,B14588B,01469,5-32,"(0, 0, 1, 1, 2, 0, 1)",1,1,3,2,2,1
11202,Cb Db En Fn G# Ab B#,Db Cb B# En Fn G# Ab,B145880,012569,6-44,"(0, 0, 1, 1, 2, 0, 2)",3,1,3,4,3,1
11210,Cb Db En Fn G# An Bb,Db Cb Bb En Fn G# An,B14589A,0123589,7-18,"(0, 0, 1, 1, 2, 1, 0)",4,3,4,4,4,2
11211,Cb Db En Fn G# An Bn,Db Cb Bn En Fn G# An,B14589B,014579,6-31,"(0, 0, 1, 1, 2, 1, 1)",2,2,3,4,3,1
11212,Cb Db En Fn G# An B#,Db Cb B# En Fn G# An,B145890,0124589,7-21,"(0, 0, 1, 1, 2, 1, 2)",4,2,4,6,4,1
11220,Cb Db En Fn G# A# Bb,Db Cb Bb En Fn G# A#,B1458AA,014679,6-50,"(0, 0, 1, 1, 2, 2, 0)",2,2,4,2,3,2
11221,Cb Db En Fn G# A# Bn,Db Cb Bn En Fn G# A#,B1458AB,014679,6-50,"(0, 0, 1, 1, 2, 2, 1)",2,2,4,2,3,2
11222,Cb Db En Fn G# A# B#,Db Cb B# En Fn G# A#,B1458A0,0123589,7-18,"(0, 0, 1, 1, 2, 2, 2)",4,3,4,4,4,2
12000,Cb Db En F# Gb Ab Bb,Db Cb Bb En F# Gb Ab,B14668A,023579,6-33,"(0, 0, 1, 2, 0, 0, 0)",1,4,3,2,4,1
12001,Cb Db En F# Gb Ab Bn,Db Cb Bn En F# Gb Ab,B14668B,02479,5-35,"(0, 0, 1, 2, 0, 0, 1)",0,3,2,1,4,0
12002,Cb Db En F# Gb Ab B#,Db Cb B# En F# Gb Ab,B146680,012579,6-48,"(0, 0, 1, 2, 0, 0, 2)",2,3,2,3,4,1
12010,Cb Db En F# Gb An Bb,Db Cb Bb En F# Gb An,B14669A,012479,6-47,"(0, 0, 1, 2, 0, 1, 0)",2,3,3,2,4,1
12011,Cb Db En F# Gb An Bn,Db Cb Bn En F# Gb An,B14669B,02479,5-35,"(0, 0, 1, 2, 0, 1, 1)",0,3,2,1,4,0
12012,Cb Db En F# Gb An B#,Db Cb B# En F# Gb An,B146690,012479,6-47,"(0, 0, 1, 2, 0, 1, 2)",2,3,3,2,4,1
12020,Cb Db En F# Gb A# Bb,Db Cb Bb En F# Gb A#,B1466AA,01368,5-29,"(0, 0, 1, 2, 0, 2, 0)",1,2,2,1,3,1
12021,Cb Db En F# Gb A# Bn,Db Cb Bn En F# Gb A#,B1466AB,01368,5-29,"(0, 0, 1, 2, 0, 2, 1)",1,2,2,1,3,1
12022,Cb Db En F# Gb A# B#,Db Cb B# En F# Gb A#,B1466A0,012368,6-41,"(0, 0, 1, 2, 0, 2, 2)",3,3,2,2,3,2
12100,Cb Db En F# Gn Ab Bb,Db Cb Bb En F# Gn Ab,B14678A,0234679,7-25,"(0, 0, 1, 2, 1, 0, 0)",3,4,5,3,4,2
12101,Cb Db En F# Gn Ab Bn,Db Cb Bn En F# Gn Ab,B14678B,012479,6-47,"(0, 0, 1, 2, 1, 0, 1)",2,3,3,2,4,1
12102,Cb Db En F# Gn Ab B#,Db Cb B# En F# Gn Ab,B146780,0125679,7-20,"(0, 0, 1, 2, 1, 0, 2)",4,3,3,4,5,2
12110,Cb Db En F# Gn An Bb,Db Cb Bb En F# Gn An,B14679A,0234679,7-25,"(0, 0, 1, 2, 1, 1, 0)",3,4,5,3,4,2
12111,Cb Db En F# Gn An Bn,Db Cb Bn En F# Gn An,B14679B,023579,6-33,"(0, 0, 1, 2, 1, 1, 1)",1,4,3,2,4,1
12112,Cb Db En F# Gn An B#,Db Cb B# En F# Gn An,B146790,0124679,7-29,"(0, 0, 1, 2, 1, 1, 2)",3,4,4,3,5,2
12120,Cb Db En F# Gn A# Bb,Db Cb Bb En F# Gn A#,B1467AA,023679,6-Z29,"(0, 0, 1, 2, 1, 2, 0)",2,2,4,2,3,2
12121,Cb Db En F# Gn A# Bn,Db Cb Bn En F# Gn A#,B1467AB,023679,6-Z29,"(0, 0, 1, 2, 1, 2, 1)",2,2,4,2,3,2
12122,Cb Db En F# Gn A# B#,Db Cb B# En F# Gn A#,B1467A0,0123679,7-19,"(0, 0, 1, 2, 1, 2, 2)",4,3,4,3,4,3
12200,Cb Db En F# G# Ab Bb,Db Cb Bb En F# G# Ab,B14688A,023579,6-33,"(0, 0, 1, 2, 2, 0, 0)",1,4,3,2,4,1
12201,Cb Db En F# G# Ab Bn,Db Cb Bn En F# G# Ab,B14688B,02479,5-35,"(0, 0, 1, 2, 2, 0, 1)",0,3,2,1,4,0
12202,Cb Db En F# G# Ab B#,Db Cb B# En F# G# Ab,B146880,012579,6-48,"(0, 0, 1, 2, 2, 0, 2)",2,3,2,3,4,1
12210,Cb Db En F# G# An Bb,Db Cb Bb En F# G# An,B14689A,0234579,7-23,"(0, 0, 1, 2, 2, 1, 0)",3,5,4,3,5,1
12211,Cb Db En F# G# An Bn,Db Cb Bn En F# G# An,B14689B,024579,6-32,"(0, 0, 1, 2, 2, 1, 1)",1,4,3,2,5,0
12212,Cb Db En F# G# An B#,Db Cb B# En F# G# An,B146890,0124579,7-27,"(0, 0, 1, 2, 2, 1, 2)",3,4,4,4,5,1
12220,Cb Db En F# G# A# Bb,Db Cb Bb En F# G# A#,B1468AA,023579,6-33,"(0, 0, 1, 2, 2, 2, 0)",1,4,3,2,4,1
